Date,Price
2023-09-25,2443.0
2023-09-26,2352.0
2023-09-27,2346.0
2023-09-28,2372.0
2023-09-29,2369.0
2023-10-02,2374.0
2023-10-03,2332.0
2023-10-04,2315.0
2023-10-05,2302.0
2023-10-06,2280.0
2023-10-09,2243.0
2023-10-10,2245.0
2023-10-11,2235.0
2023-10-12,2255.0
2023-10-13,2284.0
2023-10-16,2296.0
2023-10-17,2320.0
2023-10-18,2335.0
2023-10-19,2402.0
2023-10-20,2479.0
2023-10-23,2526.0
2023-10-24,2493.0
2023-10-25,2467.0
2023-10-26,2420.0
2023-10-27,2383.0
2023-10-30,2314.0
2023-10-31,2366.0
2023-11-01,2312.0
2023-11-02,2328.0
2023-11-03,2372.0
2023-11-06,2422.0
2023-11-07,2358.0
2023-11-08,2406.0
2023-11-09,2430.0
2023-11-10,2421.0
2023-11-13,2503.0
2023-11-14,2474.0
2023-11-15,2549.0
2023-11-16,2566.0
2023-11-17,2521.0
2023-11-20,2505.0
2023-11-21,2482.0
2023-11-22,2515.0
2023-11-23,2491.0
2023-11-24,2545.0
2023-11-27,2478.0
2023-11-28,2481.0
2023-11-29,2468.0
2023-11-30,2546.0
2023-12-01,2528.0
2023-12-04,2513.0
2023-12-05,2553.0
2023-12-06,2512.0
2023-12-07,2541.0
2023-12-08,2526.0
2023-12-11,2622.0
2023-12-12,2724.0
2023-12-13,2769.0
2023-12-14,2797.0
2023-12-15,2825.0
2023-12-18,2796.0
2023-12-19,2932.0
2023-12-20,2870.0
2023-12-21,2964.0
2023-12-22,2837.0
2023-12-27,2869.0
2023-12-28,2936.0
2023-12-29,2841.0
2024-01-02,2804.0
2024-01-03,2755.0
2024-01-04,2786.0
2024-01-05,2795.0
2024-01-08,2885.0
2024-01-09,2932.0
2024-01-10,2950.0
2024-01-11,2938.0
2024-01-12,2939.0
2024-01-15,2987.0
2024-01-16,3170.0
2024-01-17,3156.0
2024-01-18,3063.0
2024-01-19,3128.0
2024-01-22,3220.0
2024-01-23,3182.0
2024-01-24,3207.0
2024-01-25,3251.0
2024-01-26,3112.0
2024-01-29,3122.0
2024-01-30,3181.0
2024-01-31,3168.0
2024-02-01,3151.0
2024-02-02,3116.0
2024-02-05,3068.0
2024-02-06,3096.0
2024-02-07,3115.0
2024-02-08,3109.0
2024-02-09,3217.0
2024-02-12,3192.0
2024-02-13,3163.0
2024-02-14,3090.0
2024-02-15,3108.0
2024-02-16,3141.0
2024-02-19,3172.0
2024-02-20,3146.0
2024-02-21,3177.0
2024-02-22,3113.0
2024-02-23,3030.0
2024-02-26,3020.0
2024-02-27,3077.0
2024-02-28,3044.0
2024-02-29,3095.0
2024-03-01,3143.0
2024-03-04,3189.0
2024-03-05,3180.0
2024-03-06,3309.0
2024-03-07,3381.0
2024-03-08,3297.0
2024-03-11,3279.0
2024-03-12,3307.0
2024-03-13,3260.0
2024-03-14,3277.0
2024-03-15,3308.0
2024-03-18,3343.0
2024-03-19,3354.0
2024-03-20,3315.0
2024-03-21,3385.0
2024-03-22,3358.0
2024-03-25,3326.0
2024-03-26,3375.0
2024-03-27,3467.0
2024-03-28,3396.0
2024-04-02,3580.0
2024-04-03,3727.0
2024-04-04,3698.0
2024-04-05,3679.0
2024-04-08,3683.0
2024-04-09,3673.0
2024-04-10,3715.0
2024-04-11,3790.0
2024-04-12,3852.0
2024-04-15,3949.0
2024-04-16,3977.0
2024-04-17,4195.0
2024-04-18,4062.0
2024-04-19,4080.0
2024-04-22,4133.0
2024-04-23,4117.0
