date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-07-08,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-09,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-10,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-11,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-12,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-13,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-14,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-15,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-16,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-17,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-18,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-19,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-20,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-21,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-22,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-23,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-24,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-25,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
